Company Name,Company Rating,Company Review,Sector,Salary,About Company,Links
TCS,3.6,(96.7k),IT Services & Consulting | Bangalore / Bengaluru +413 other locations,9.1L,IT Services & Consulting | Bangalore / Bengaluru +413 other locations,https://www.ambitionbox.com/overview/TCS-overview
Accenture,3.8,(62.2k),IT Services & Consulting | Bangalore / Bengaluru +227 other locations,6L,IT Services & Consulting | Bangalore / Bengaluru +227 other locations,https://www.ambitionbox.com/overview/Accenture-overview
Wipro,3.7,(56.6k),IT Services & Consulting | Bangalore / Bengaluru +357 other locations,4.6L,IT Services & Consulting | Bangalore / Bengaluru +357 other locations,https://www.ambitionbox.com/overview/Wipro-overview
Cognizant,3.7,(53.8k),IT Services & Consulting | Hyderabad / Secunderabad +212 other locations,5.8L,IT Services & Consulting | Hyderabad / Secunderabad +212 other locations,https://www.ambitionbox.com/overview/Cognizant-overview
Capgemini,3.7,(45.5k),IT Services & Consulting | Bangalore / Bengaluru +171 other locations,4.5L,IT Services & Consulting | Bangalore / Bengaluru +171 other locations,https://www.ambitionbox.com/overview/Capgemini-overview
HDFC Bank,3.9,(42.8k),Banking | Mumbai +1693 other locations,1.4L,Banking | Mumbai +1693 other locations,https://www.ambitionbox.com/overview/HDFC Bank-overview
Infosys,3.6,(42.3k),IT Services & Consulting | Bangalore / Bengaluru +227 other locations,4.9L,IT Services & Consulting | Bangalore / Bengaluru +227 other locations,https://www.ambitionbox.com/overview/Infosys-overview
ICICI Bank,4.0,(41.4k),Banking | Mumbai +1391 other locations,1.5L,Banking | Mumbai +1391 other locations,https://www.ambitionbox.com/overview/ICICI Bank-overview
HCLTech,3.5,(39k),IT Services & Consulting | Chennai +216 other locations,3.5L,IT Services & Consulting | Chennai +216 other locations,https://www.ambitionbox.com/overview/HCLTech-overview
Tech Mahindra,3.5,(37.7k),IT Services & Consulting | Hyderabad / Secunderabad +318 other locations,2.7L,IT Services & Consulting | Hyderabad / Secunderabad +318 other locations,https://www.ambitionbox.com/overview/Tech Mahindra-overview
Genpact,3.8,(35.2k),IT Services & Consulting | Hyderabad / Secunderabad +160 other locations,2.1L,IT Services & Consulting | Hyderabad / Secunderabad +160 other locations,https://www.ambitionbox.com/overview/Genpact-overview
Teleperformance,3.9,(32k),BPO | Mumbai +245 other locations,91.8k,BPO | Mumbai +245 other locations,https://www.ambitionbox.com/overview/Teleperformance-overview
Concentrix Corporation,3.7,(28.2k),BPO | Bangalore / Bengaluru +165 other locations,1.2L,BPO | Bangalore / Bengaluru +165 other locations,https://www.ambitionbox.com/overview/Concentrix Corporation-overview
Axis Bank,3.7,(27.8k),Banking | Mumbai +1412 other locations,1L,Banking | Mumbai +1412 other locations,https://www.ambitionbox.com/overview/Axis Bank-overview
Amazon,4.0,(26.8k),Internet | Bangalore / Bengaluru +497 other locations,1.3L,Internet | Bangalore / Bengaluru +497 other locations,https://www.ambitionbox.com/overview/Amazon-overview
Jio,4.0,(25.2k),Telecom | Mumbai +1416 other locations,60.5k,Telecom | Mumbai +1416 other locations,https://www.ambitionbox.com/overview/Jio-overview
iEnergizer,4.7,(24.3k),BPO | Noida +44 other locations,22.7k,BPO | Noida +44 other locations,https://www.ambitionbox.com/overview/iEnergizer-overview
Reliance Retail,3.9,(23.9k),Retail | Mumbai +1086 other locations,66.3k,Retail | Mumbai +1086 other locations,https://www.ambitionbox.com/overview/Reliance Retail-overview
IBM,4.0,(23.3k),IT Services & Consulting | Bangalore / Bengaluru +159 other locations,2L,IT Services & Consulting | Bangalore / Bengaluru +159 other locations,https://www.ambitionbox.com/overview/IBM-overview
LTIMindtree,3.7,(22.5k),IT Services & Consulting | Bangalore / Bengaluru +133 other locations,1.8L,IT Services & Consulting | Bangalore / Bengaluru +133 other locations,https://www.ambitionbox.com/overview/LTIMindtree-overview
HDB Financial Services,3.9,(22k),NBFC | Mumbai +1028 other locations,49.2k,NBFC | Mumbai +1028 other locations,https://www.ambitionbox.com/overview/HDB Financial Services-overview
Larsen & Toubro Limited,3.9,(20k),Engineering & Construction | Chennai +702 other locations,69.9k,Engineering & Construction | Chennai +702 other locations,https://www.ambitionbox.com/overview/Larsen & Toubro Limited-overview
Deloitte,3.8,(19.2k),Management Consulting | Hyderabad / Secunderabad +165 other locations,2L,Management Consulting | Hyderabad / Secunderabad +165 other locations,https://www.ambitionbox.com/overview/Deloitte-overview
Kotak Mahindra Bank,3.7,(18.8k),Banking | Mumbai +644 other locations,82.7k,Banking | Mumbai +644 other locations,https://www.ambitionbox.com/overview/Kotak Mahindra Bank-overview
Reliance Industries,4.0,(17.2k),Oil & Gas | Jamnagar +761 other locations,68k,Oil & Gas | Jamnagar +761 other locations,https://www.ambitionbox.com/overview/Reliance Industries-overview
BYJU'S,3.1,(16.3k),EdTech | Bangalore / Bengaluru +321 other locations,57.6k,EdTech | Bangalore / Bengaluru +321 other locations,https://www.ambitionbox.com/overview/BYJU'S-overview
Vodafone Idea,4.0,(16.1k),Telecom | Pune +685 other locations,51.7k,Telecom | Pune +685 other locations,https://www.ambitionbox.com/overview/Vodafone Idea-overview
Bharti Airtel,3.9,(14.9k),Telecom | Gurgaon / Gurugram +744 other locations,46.5k,Telecom | Gurgaon / Gurugram +744 other locations,https://www.ambitionbox.com/overview/Bharti Airtel-overview
WNS,3.3,(12.9k),BPO | Pune +56 other locations,64.1k,BPO | Pune +56 other locations,https://www.ambitionbox.com/overview/WNS-overview
Tata Motors,4.2,(12.8k),Automobile | Pune +485 other locations,40k,Automobile | Pune +485 other locations,https://www.ambitionbox.com/overview/Tata Motors-overview
AU Small Finance Bank,4.2,(12.3k),Banking | Jaipur +721 other locations,26.3k,Banking | Jaipur +721 other locations,https://www.ambitionbox.com/overview/AU Small Finance Bank-overview
IndusInd Bank,3.5,(11.9k),Banking | Mumbai +746 other locations,48.3k,Banking | Mumbai +746 other locations,https://www.ambitionbox.com/overview/IndusInd Bank-overview
Ernst & Young,3.4,(11.8k),Management Consulting | Bangalore / Bengaluru +120 other locations,1.2L,Management Consulting | Bangalore / Bengaluru +120 other locations,https://www.ambitionbox.com/overview/Ernst & Young-overview
Flipkart,3.9,(11.3k),Internet | Bangalore / Bengaluru +542 other locations,49.4k,Internet | Bangalore / Bengaluru +542 other locations,https://www.ambitionbox.com/overview/Flipkart-overview
IDFC FIRST Bank,3.9,(11.4k),Banking | Mumbai +649 other locations,45.1k,Banking | Mumbai +649 other locations,https://www.ambitionbox.com/overview/IDFC FIRST Bank-overview
DXC Technology,3.7,(10.7k),IT Services & Consulting | Bangalore / Bengaluru +127 other locations,73.1k,IT Services & Consulting | Bangalore / Bengaluru +127 other locations,https://www.ambitionbox.com/overview/DXC Technology-overview
Infosys BPM,3.6,(10.5k),BPO | Bangalore / Bengaluru +87 other locations,68k,BPO | Bangalore / Bengaluru +87 other locations,https://www.ambitionbox.com/overview/Infosys BPM-overview
Mahindra & Mahindra,4.1,(10.4k),Automobile | Pune +527 other locations,36.7k,Automobile | Pune +527 other locations,https://www.ambitionbox.com/overview/Mahindra & Mahindra-overview
Bajaj Finserv,4.0,(10.2k),Financial Services | Pune +1038 other locations,27.6k,Financial Services | Pune +1038 other locations,https://www.ambitionbox.com/overview/Bajaj Finserv-overview
PwC,3.4,(10.2k),Management Consulting | Bangalore / Bengaluru +120 other locations,97.8k,Management Consulting | Bangalore / Bengaluru +120 other locations,https://www.ambitionbox.com/overview/PwC-overview
HDFC Life,3.9,(10.1k),Insurance | Mumbai +639 other locations,31k,Insurance | Mumbai +639 other locations,https://www.ambitionbox.com/overview/HDFC Life-overview
Conneqt Business Solutions,3.6,(9.3k),BPO | Hyderabad / Secunderabad +252 other locations,26.8k,BPO | Hyderabad / Secunderabad +252 other locations,https://www.ambitionbox.com/overview/Conneqt Business Solutions-overview
Mphasis,3.3,(9k),IT Services & Consulting | Bangalore / Bengaluru +57 other locations,69.7k,IT Services & Consulting | Bangalore / Bengaluru +57 other locations,https://www.ambitionbox.com/overview/Mphasis-overview
Yes Bank,3.7,(8.5k),Banking | Mumbai +496 other locations,41.3k,Banking | Mumbai +496 other locations,https://www.ambitionbox.com/overview/Yes Bank-overview
Bandhan Bank,3.7,(8.5k),Banking | Kolkata +895 other locations,22.9k,Banking | Kolkata +895 other locations,https://www.ambitionbox.com/overview/Bandhan Bank-overview
Tata Steel,4.0,(8.3k),Iron & Steel | Jamshedpur +211 other locations,30.5k,Iron & Steel | Jamshedpur +211 other locations,https://www.ambitionbox.com/overview/Tata Steel-overview
Startek,3.1,(8.2k),Bangalore / Bengaluru +99 other locations,23.6k,Bangalore / Bengaluru +99 other locations,https://www.ambitionbox.com/overview/Startek-overview
Quess,3.8,(8k),BPO | Bangalore / Bengaluru +647 other locations,29k,BPO | Bangalore / Bengaluru +647 other locations,https://www.ambitionbox.com/overview/Quess-overview
Asian Paints,4.0,(8k),Chemicals | Mumbai +498 other locations,22.8k,Chemicals | Mumbai +498 other locations,https://www.ambitionbox.com/overview/Asian Paints-overview
Paytm,3.2,(8k),FinTech | Noida +373 other locations,31.9k,FinTech | Noida +373 other locations,https://www.ambitionbox.com/overview/Paytm-overview
UltraTech Cement,4.2,(7.8k),Building Material | Mumbai +486 other locations,22.5k,Building Material | Mumbai +486 other locations,https://www.ambitionbox.com/overview/UltraTech Cement-overview
Samsung,3.9,(7.7k),Consumer Electronics & Appliances | Noida +553 other locations,26k,Consumer Electronics & Appliances | Noida +553 other locations,https://www.ambitionbox.com/overview/Samsung-overview
Maruti Suzuki,4.2,(7.7k),Automobile | Gurgaon / Gurugram +407 other locations,25.1k,Automobile | Gurgaon / Gurugram +407 other locations,https://www.ambitionbox.com/overview/Maruti Suzuki-overview
Shriram Finance,4.0,(7.6k),NBFC | Chennai +1031 other locations,13.9k,NBFC | Chennai +1031 other locations,https://www.ambitionbox.com/overview/Shriram Finance-overview
Ericsson,4.1,(7.5k),Telecom | Noida +157 other locations,41.7k,Telecom | Noida +157 other locations,https://www.ambitionbox.com/overview/Ericsson-overview
EXL Service,3.7,(7.6k),IT Services & Consulting | Noida +58 other locations,40.5k,IT Services & Consulting | Noida +58 other locations,https://www.ambitionbox.com/overview/EXL Service-overview
Sutherland Global Services,3.5,(7.6k),IT Services & Consulting | Chennai +72 other locations,30.6k,IT Services & Consulting | Chennai +72 other locations,https://www.ambitionbox.com/overview/Sutherland Global Services-overview
Muthoot Fincorp,4.5,(7.5k),NBFC | Bangalore / Bengaluru +885 other locations,8.3k,NBFC | Bangalore / Bengaluru +885 other locations,https://www.ambitionbox.com/overview/Muthoot Fincorp-overview
Bajaj Finance,4.0,(7.4k),NBFC | Pune +878 other locations,21k,NBFC | Pune +878 other locations,https://www.ambitionbox.com/overview/Bajaj Finance-overview
Cipla,4.1,(7.3k),Pharma | Mumbai +267 other locations,24.3k,Pharma | Mumbai +267 other locations,https://www.ambitionbox.com/overview/Cipla-overview
Dr. Reddy's,4.0,(7.2k),Pharma | Hyderabad / Secunderabad +196 other locations,24.4k,Pharma | Hyderabad / Secunderabad +196 other locations,https://www.ambitionbox.com/overview/Dr. Reddy's-overview
HGS,3.8,(7.1k),BPO | Bangalore / Bengaluru +117 other locations,22.1k,BPO | Bangalore / Bengaluru +117 other locations,https://www.ambitionbox.com/overview/HGS-overview
Wells Fargo,3.8,(7k),Financial Services | Bangalore / Bengaluru +26 other locations,51k,Financial Services | Bangalore / Bengaluru +26 other locations,https://www.ambitionbox.com/overview/Wells Fargo-overview
Amazon Development Centre India,4.0,(6.8k),Internet | Hyderabad / Secunderabad +135 other locations,34k,Internet | Hyderabad / Secunderabad +135 other locations,https://www.ambitionbox.com/overview/Amazon Development Centre India-overview
ICICI Prudential Life Insurance,4.0,(6.8k),Insurance | Mumbai +484 other locations,22k,Insurance | Mumbai +484 other locations,https://www.ambitionbox.com/overview/ICICI Prudential Life Insurance-overview
JPMorgan Chase & Co.,3.9,(6.7k),Financial Services | Bangalore / Bengaluru +51 other locations,74.6k,Financial Services | Bangalore / Bengaluru +51 other locations,https://www.ambitionbox.com/overview/JPMorgan Chase & Co.-overview
Optum Global Solutions,4.0,(6.6k),IT Services & Consulting | Hyderabad / Secunderabad +50 other locations,41.7k,IT Services & Consulting | Hyderabad / Secunderabad +50 other locations,https://www.ambitionbox.com/overview/Optum Global Solutions-overview
Jana Small Finance Bank,3.8,(6.6k),Banking | Bangalore / Bengaluru +386 other locations,13.9k,Banking | Bangalore / Bengaluru +386 other locations,https://www.ambitionbox.com/overview/Jana Small Finance Bank-overview
Delhivery,3.8,(6.5k),Logistics | Gurgaon / Gurugram +698 other locations,19.2k,Logistics | Gurgaon / Gurugram +698 other locations,https://www.ambitionbox.com/overview/Delhivery-overview
L&T Construction,4.0,(6.4k),Engineering & Construction | Chennai +401 other locations,18.3k,Engineering & Construction | Chennai +401 other locations,https://www.ambitionbox.com/overview/L&T Construction-overview
Lupin,4.1,(6.5k),Pharma | Pune +188 other locations,22.2k,Pharma | Pune +188 other locations,https://www.ambitionbox.com/overview/Lupin-overview
Hexaware Technologies,3.5,(6.5k),IT Services & Consulting | Chennai +64 other locations,49.1k,IT Services & Consulting | Chennai +64 other locations,https://www.ambitionbox.com/overview/Hexaware Technologies-overview
Hindustan Unilever,4.2,(6.3k),FMCG | Mumbai +497 other locations,19.3k,FMCG | Mumbai +497 other locations,https://www.ambitionbox.com/overview/Hindustan Unilever-overview
JSW Steel,3.9,(6.4k),Iron & Steel | Ballari +169 other locations,27.6k,Iron & Steel | Ballari +169 other locations,https://www.ambitionbox.com/overview/JSW Steel-overview
Zydus Lifesciences,4.1,(6.4k),Pharma | Ahmedabad +168 other locations,18.8k,Pharma | Ahmedabad +168 other locations,https://www.ambitionbox.com/overview/Zydus Lifesciences-overview
Equitas Small Finance Bank,4.4,(6.3k),Banking | Chennai +430 other locations,12.2k,Banking | Chennai +430 other locations,https://www.ambitionbox.com/overview/Equitas Small Finance Bank-overview
Sun Pharmaceutical Industries,4.0,(6.2k),Pharma | Vadodara +233 other locations,21.8k,Pharma | Vadodara +233 other locations,https://www.ambitionbox.com/overview/Sun Pharmaceutical Industries-overview
ITC,3.9,(6.1k),FMCG | Bangalore / Bengaluru +351 other locations,22.5k,FMCG | Bangalore / Bengaluru +351 other locations,https://www.ambitionbox.com/overview/ITC-overview
KPMG India,3.5,(6.1k),Management Consulting | Bangalore / Bengaluru +103 other locations,55.8k,Management Consulting | Bangalore / Bengaluru +103 other locations,https://www.ambitionbox.com/overview/KPMG India-overview
Ekart Logistics,3.9,(5.9k),Bangalore / Bengaluru +693 other locations,14.2k,Bangalore / Bengaluru +693 other locations,https://www.ambitionbox.com/overview/Ekart Logistics-overview
Axis Max Life Insurance,4.1,(5.9k),Insurance | New Delhi +455 other locations,18k,Insurance | New Delhi +455 other locations,https://www.ambitionbox.com/overview/Axis Max Life Insurance-overview
FIS,3.9,(5.8k),FinTech | Pune +57 other locations,37.7k,FinTech | Pune +57 other locations,https://www.ambitionbox.com/overview/FIS-overview
Ujjivan Small Finance Bank,4.1,(5.9k),Banking | Bangalore / Bengaluru +497 other locations,12.4k,Banking | Bangalore / Bengaluru +497 other locations,https://www.ambitionbox.com/overview/Ujjivan Small Finance Bank-overview
HCL Group,3.6,(5.8k),IT Services & Consulting | Chennai +92 other locations,45.4k,IT Services & Consulting | Chennai +92 other locations,https://www.ambitionbox.com/overview/HCL Group-overview
Tata Projects,4.2,(5.7k),Engineering & Construction | Mumbai +263 other locations,20.3k,Engineering & Construction | Mumbai +263 other locations,https://www.ambitionbox.com/overview/Tata Projects-overview
Megha Engineering & Infrastructures,3.9,(5.6k),Engineering & Construction | Hyderabad / Secunderabad +363 other locations,16.5k,Engineering & Construction | Hyderabad / Secunderabad +363 other locations,https://www.ambitionbox.com/overview/Megha Engineering & Infrastructures-overview
Indian Army,4.7,(5.6k),Defence & Aerospace | New Delhi +345 other locations,9.4k,Defence & Aerospace | New Delhi +345 other locations,https://www.ambitionbox.com/overview/Indian Army-overview
Oracle,3.7,(5.5k),Software Product | Bangalore / Bengaluru +53 other locations,57.2k,Software Product | Bangalore / Bengaluru +53 other locations,https://www.ambitionbox.com/overview/Oracle-overview
IIFL Finance,4.0,(5.5k),NBFC | Mumbai +749 other locations,13.8k,NBFC | Mumbai +749 other locations,https://www.ambitionbox.com/overview/IIFL Finance-overview
L&T Technology Services,3.3,(5.5k),IT Services & Consulting | Bangalore / Bengaluru +87 other locations,39.2k,IT Services & Consulting | Bangalore / Bengaluru +87 other locations,https://www.ambitionbox.com/overview/L&T Technology Services-overview
Coforge,3.3,(5.4k),IT Services & Consulting | Noida +100 other locations,42.7k,IT Services & Consulting | Noida +100 other locations,https://www.ambitionbox.com/overview/Coforge-overview
Muthoot Finance,3.6,(5.4k),NBFC | Bangalore / Bengaluru +719 other locations,12.2k,NBFC | Bangalore / Bengaluru +719 other locations,https://www.ambitionbox.com/overview/Muthoot Finance-overview
eClerx,3.3,(5.4k),IT Services & Consulting | Pune +28 other locations,29.3k,IT Services & Consulting | Pune +28 other locations,https://www.ambitionbox.com/overview/eClerx-overview
JLL,4.1,(5.3k),Real Estate | Gurgaon / Gurugram +73 other locations,21.6k,Real Estate | Gurgaon / Gurugram +73 other locations,https://www.ambitionbox.com/overview/JLL-overview
Virtusa Consulting Services,3.7,(5.3k),IT Services & Consulting | Hyderabad / Secunderabad +50 other locations,53.4k,IT Services & Consulting | Hyderabad / Secunderabad +50 other locations,https://www.ambitionbox.com/overview/Virtusa Consulting Services-overview
Bajaj Allianz Life Insurance,3.9,(5.3k),Insurance | Pune +562 other locations,16.1k,Insurance | Pune +562 other locations,https://www.ambitionbox.com/overview/Bajaj Allianz Life Insurance-overview
Omega Healthcare,3.7,(5.3k),BPO | Chennai +63 other locations,23.7k,BPO | Chennai +63 other locations,https://www.ambitionbox.com/overview/Omega Healthcare-overview
HSBC Group,3.9,(5.2k),Financial Services | Bangalore / Bengaluru +60 other locations,37.7k,Financial Services | Bangalore / Bengaluru +60 other locations,https://www.ambitionbox.com/overview/HSBC Group-overview
Udaan,4.0,(5.2k),Internet | Bangalore / Bengaluru +349 other locations,16.4k,Internet | Bangalore / Bengaluru +349 other locations,https://www.ambitionbox.com/overview/Udaan-overview
Indiamart Intermesh,3.6,(5.2k),Internet | Noida +163 other locations,19.1k,Internet | Noida +163 other locations,https://www.ambitionbox.com/overview/Indiamart Intermesh-overview
Siemens,4.0,(5.1k),Industrial Automation | Bangalore / Bengaluru +146 other locations,30.6k,Industrial Automation | Bangalore / Bengaluru +146 other locations,https://www.ambitionbox.com/overview/Siemens-overview
Aurobindo Pharma,4.0,(5.1k),Pharma | Hyderabad / Secunderabad +101 other locations,21k,Pharma | Hyderabad / Secunderabad +101 other locations,https://www.ambitionbox.com/overview/Aurobindo Pharma-overview
Shapoorji Pallonji Group,4.1,(5k),Engineering & Construction | Mumbai +184 other locations,14.8k,Engineering & Construction | Mumbai +184 other locations,https://www.ambitionbox.com/overview/Shapoorji Pallonji Group-overview
Standard Chartered,3.6,(5k),Banking | Chennai +67 other locations,39.9k,Banking | Chennai +67 other locations,https://www.ambitionbox.com/overview/Standard Chartered-overview
Cholamandalam Investment & Finance,3.9,(5k),Financial Services | Chennai +748 other locations,11.2k,Financial Services | Chennai +748 other locations,https://www.ambitionbox.com/overview/Cholamandalam Investment & Finance-overview
DMart,3.9,(4.9k),Retail | Mumbai +231 other locations,16k,Retail | Mumbai +231 other locations,https://www.ambitionbox.com/overview/DMart-overview
Firstsource Solutions,3.6,(4.9k),BPO | Bangalore / Bengaluru +65 other locations,22.5k,BPO | Bangalore / Bengaluru +65 other locations,https://www.ambitionbox.com/overview/Firstsource Solutions-overview
CGI Group,4.0,(4.9k),IT Services & Consulting | Bangalore / Bengaluru +41 other locations,44k,IT Services & Consulting | Bangalore / Bengaluru +41 other locations,https://www.ambitionbox.com/overview/CGI Group-overview
Bosch Global Software Technologies,3.8,(4.9k),IT Services & Consulting | Bangalore / Bengaluru +39 other locations,36.8k,IT Services & Consulting | Bangalore / Bengaluru +39 other locations,https://www.ambitionbox.com/overview/Bosch Global Software Technologies-overview
GlobalLogic,3.6,(4.9k),IT Services & Consulting | Hyderabad / Secunderabad +53 other locations,36.7k,IT Services & Consulting | Hyderabad / Secunderabad +53 other locations,https://www.ambitionbox.com/overview/GlobalLogic-overview
Apollo Hospitals,4.1,(4.9k),Healthcare | Chennai +208 other locations,15.5k,Healthcare | Chennai +208 other locations,https://www.ambitionbox.com/overview/Apollo Hospitals-overview
ICICI Lombard General Insurance Company,3.6,(4.9k),Insurance | Mumbai +292 other locations,19k,Insurance | Mumbai +292 other locations,https://www.ambitionbox.com/overview/ICICI Lombard General Insurance Company-overview
Cyient,3.7,(4.8k),IT Services & Consulting | Hyderabad / Secunderabad +42 other locations,26.4k,IT Services & Consulting | Hyderabad / Secunderabad +42 other locations,https://www.ambitionbox.com/overview/Cyient-overview
Ashok Leyland,4.1,(4.8k),Automobile | Chennai +230 other locations,17.6k,Automobile | Chennai +230 other locations,https://www.ambitionbox.com/overview/Ashok Leyland-overview
Citicorp,3.7,(4.8k),Financial Services | Pune +65 other locations,45.7k,Financial Services | Pune +65 other locations,https://www.ambitionbox.com/overview/Citicorp-overview
BigBasket,3.9,(4.8k),Internet | Bangalore / Bengaluru +125 other locations,17.4k,Internet | Bangalore / Bengaluru +125 other locations,https://www.ambitionbox.com/overview/BigBasket-overview
UST,3.8,(4.8k),IT Services & Consulting | Bangalore / Bengaluru +48 other locations,37.4k,IT Services & Consulting | Bangalore / Bengaluru +48 other locations,https://www.ambitionbox.com/overview/UST-overview
Mahindra Finance,4.0,(4.8k),NBFC | Mumbai +689 other locations,11.3k,NBFC | Mumbai +689 other locations,https://www.ambitionbox.com/overview/Mahindra Finance-overview
SMFG India Credit,4.0,(4.7k),NBFC | Mumbai +551 other locations,10.6k,NBFC | Mumbai +551 other locations,https://www.ambitionbox.com/overview/SMFG India Credit-overview
Hero MotoCorp,4.1,(4.7k),Automobile | Gurgaon / Gurugram +336 other locations,14.5k,Automobile | Gurgaon / Gurugram +336 other locations,https://www.ambitionbox.com/overview/Hero MotoCorp-overview
JustDial,3.5,(4.6k),Internet | Noida +206 other locations,14.6k,Internet | Noida +206 other locations,https://www.ambitionbox.com/overview/JustDial-overview
Eviden,3.6,(4.6k),IT Services & Consulting | Pune +36 other locations,30.3k,IT Services & Consulting | Pune +36 other locations,https://www.ambitionbox.com/overview/Eviden-overview
Manappuram Finance,3.9,(4.6k),NBFC | Bangalore / Bengaluru +577 other locations,8.2k,NBFC | Bangalore / Bengaluru +577 other locations,https://www.ambitionbox.com/overview/Manappuram Finance-overview
Vivo,4.1,(4.6k),Consumer Electronics & Appliances | Noida +400 other locations,12.8k,Consumer Electronics & Appliances | Noida +400 other locations,https://www.ambitionbox.com/overview/Vivo-overview
Swiggy,3.8,(4.5k),Internet | Bangalore / Bengaluru +213 other locations,20.8k,Internet | Bangalore / Bengaluru +213 other locations,https://www.ambitionbox.com/overview/Swiggy-overview
BNY,3.8,(4.5k),Financial Services | Pune +22 other locations,28.7k,Financial Services | Pune +22 other locations,https://www.ambitionbox.com/overview/BNY-overview
IQVIA,3.9,(4.5k),Clinical Research | Bangalore / Bengaluru +58 other locations,28.2k,Clinical Research | Bangalore / Bengaluru +58 other locations,https://www.ambitionbox.com/overview/IQVIA-overview
Kalpataru Projects International,4.1,(4.4k),Engineering & Construction | Mumbai +284 other locations,12.5k,Engineering & Construction | Mumbai +284 other locations,https://www.ambitionbox.com/overview/Kalpataru Projects International-overview
SBI Cards & Payment Services,3.7,(4.4k),Financial Services | New Delhi +394 other locations,15.7k,Financial Services | New Delhi +394 other locations,https://www.ambitionbox.com/overview/SBI Cards & Payment Services-overview
Atos,3.8,(4.4k),IT Services & Consulting | Pune +48 other locations,33.1k,IT Services & Consulting | Pune +48 other locations,https://www.ambitionbox.com/overview/Atos-overview
Home Credit Finance,4.1,(4.4k),NBFC | Gurgaon / Gurugram +125 other locations,9.7k,NBFC | Gurgaon / Gurugram +125 other locations,https://www.ambitionbox.com/overview/Home Credit Finance-overview
TVS Motor,3.9,(4.4k),Automobile | Hosur +323 other locations,14.8k,Automobile | Hosur +323 other locations,https://www.ambitionbox.com/overview/TVS Motor-overview
CBRE,4.1,(4.4k),Real Estate | Hyderabad / Secunderabad +85 other locations,17k,Real Estate | Hyderabad / Secunderabad +85 other locations,https://www.ambitionbox.com/overview/CBRE-overview
PolicyBazaar,3.7,(4.3k),Internet | Gurgaon / Gurugram +126 other locations,15.5k,Internet | Gurgaon / Gurugram +126 other locations,https://www.ambitionbox.com/overview/PolicyBazaar-overview
Nagarro,4.0,(4.3k),IT Services & Consulting | Gurgaon / Gurugram +47 other locations,27.8k,IT Services & Consulting | Gurgaon / Gurugram +47 other locations,https://www.ambitionbox.com/overview/Nagarro-overview
Persistent Systems,3.6,(4.3k),IT Services & Consulting | Pune +41 other locations,39.9k,IT Services & Consulting | Pune +41 other locations,https://www.ambitionbox.com/overview/Persistent Systems-overview
OPPO,4.0,(4.2k),Consumer Electronics & Appliances | Greater Noida +387 other locations,12k,Consumer Electronics & Appliances | Greater Noida +387 other locations,https://www.ambitionbox.com/overview/OPPO-overview
Amdocs,3.7,(4.3k),Software Product | Pune +21 other locations,35.5k,Software Product | Pune +21 other locations,https://www.ambitionbox.com/overview/Amdocs-overview
State Bank of India,3.8,(4.2k),Banking | Mumbai +554 other locations,10.7k,Banking | Mumbai +554 other locations,https://www.ambitionbox.com/overview/State Bank of India-overview
SBI Life Insurance Company,3.8,(4.2k),Insurance | Mumbai +597 other locations,10.8k,Insurance | Mumbai +597 other locations,https://www.ambitionbox.com/overview/SBI Life Insurance Company-overview
NTT Data,3.8,(4.2k),IT Services & Consulting | Bangalore / Bengaluru +67 other locations,30.4k,IT Services & Consulting | Bangalore / Bengaluru +67 other locations,https://www.ambitionbox.com/overview/NTT Data-overview
Schneider Electric,4.1,(4.2k),Industrial Automation | Bangalore / Bengaluru +116 other locations,21.8k,Industrial Automation | Bangalore / Bengaluru +116 other locations,https://www.ambitionbox.com/overview/Schneider Electric-overview
JBM Group,4.0,(4.2k),Auto Components | Gurgaon / Gurugram +100 other locations,13.5k,Auto Components | Gurgaon / Gurugram +100 other locations,https://www.ambitionbox.com/overview/JBM Group-overview
Bosch,4.2,(4.1k),Auto Components | Bangalore / Bengaluru +115 other locations,19.6k,Auto Components | Bangalore / Bengaluru +115 other locations,https://www.ambitionbox.com/overview/Bosch-overview
Nagarjuna Construction Company,4.1,(4.1k),Engineering & Construction | Hyderabad / Secunderabad +260 other locations,10.8k,Engineering & Construction | Hyderabad / Secunderabad +260 other locations,https://www.ambitionbox.com/overview/Nagarjuna Construction Company-overview
Dell,3.9,(4.1k),Consumer Electronics & Appliances | Bangalore / Bengaluru +109 other locations,27.4k,Consumer Electronics & Appliances | Bangalore / Bengaluru +109 other locations,https://www.ambitionbox.com/overview/Dell-overview
Hewlett Packard Enterprise,4.2,(4.1k),IT Services & Consulting | Bangalore / Bengaluru +96 other locations,26k,IT Services & Consulting | Bangalore / Bengaluru +96 other locations,https://www.ambitionbox.com/overview/Hewlett Packard Enterprise-overview
Mahindra Logistics,3.9,(4k),Logistics | Mumbai +226 other locations,13k,Logistics | Mumbai +226 other locations,https://www.ambitionbox.com/overview/Mahindra Logistics-overview
Ecom Express,3.8,(4.1k),Logistics | Gurgaon / Gurugram +693 other locations,9k,Logistics | Gurgaon / Gurugram +693 other locations,https://www.ambitionbox.com/overview/Ecom Express-overview
Piramal Capital Housing Finance,4.2,(4k),NBFC | Mumbai +361 other locations,9.3k,NBFC | Mumbai +361 other locations,https://www.ambitionbox.com/overview/Piramal Capital Housing Finance-overview
