Company Name,Company Rating,Company Review,Sector,Salary,About Company,Links
Suzlon Global Services,3.9,(417),Pune +59 other locations,1.3k,Pune +59 other locations,https://www.ambitionbox.com/overview/Suzlon Global Services-overview
Pitti Engineering,4.0,(426),Industrial Machinery | Hyderabad / Secunderabad +10 other locations,1.8k,Industrial Machinery | Hyderabad / Secunderabad +10 other locations,https://www.ambitionbox.com/overview/Pitti Engineering-overview
Vyapar,3.5,(417),Software Product | Bangalore / Bengaluru +38 other locations,1.5k,Software Product | Bangalore / Bengaluru +38 other locations,https://www.ambitionbox.com/overview/Vyapar-overview
CMR Green Technologies,3.6,(422),Metals & Mining | Faridabad +31 other locations,1.5k,Metals & Mining | Faridabad +31 other locations,https://www.ambitionbox.com/overview/CMR Green Technologies-overview
Spoton Logistics,4.5,(415),Logistics | Bangalore / Bengaluru +71 other locations,1.2k,Logistics | Bangalore / Bengaluru +71 other locations,https://www.ambitionbox.com/overview/Spoton Logistics-overview
Muthoottu Mini Financiers,3.7,(418),NBFC | Bangalore / Bengaluru +85 other locations,1.2k,NBFC | Bangalore / Bengaluru +85 other locations,https://www.ambitionbox.com/overview/Muthoottu Mini Financiers-overview
Landis+Gyr,3.1,(418),Electrical Equipment | Noida +10 other locations,2.6k,Electrical Equipment | Noida +10 other locations,https://www.ambitionbox.com/overview/Landis+Gyr-overview
Bira 91,3.5,(416),Beverage | New Delhi +49 other locations,1.4k,Beverage | New Delhi +49 other locations,https://www.ambitionbox.com/overview/Bira 91-overview
ZTE Corporation,4.0,(414),Telecom | Gurgaon / Gurugram +45 other locations,1.3k,Telecom | Gurgaon / Gurugram +45 other locations,https://www.ambitionbox.com/overview/ZTE Corporation-overview
Matrix Business Services,3.4,(418),Analytics & KPO | Chennai +22 other locations,1.8k,Analytics & KPO | Chennai +22 other locations,https://www.ambitionbox.com/overview/Matrix Business Services-overview
Insolutions Global,3.7,(419),FinTech | Mumbai +20 other locations,2.4k,FinTech | Mumbai +20 other locations,https://www.ambitionbox.com/overview/Insolutions Global-overview
Self Practice,4.4,(414),Analytics & KPO | New Delhi +122 other locations,5.8k,Analytics & KPO | New Delhi +122 other locations,https://www.ambitionbox.com/overview/Self Practice-overview
Alchemy Techsol India,3.7,(416),IT Services & Consulting | Bangalore / Bengaluru +18 other locations,1.9k,IT Services & Consulting | Bangalore / Bengaluru +18 other locations,https://www.ambitionbox.com/overview/Alchemy Techsol India-overview
Grindwell Norton,3.8,(415),Industrial Machinery | Bangalore / Bengaluru +37 other locations,1.7k,Industrial Machinery | Bangalore / Bengaluru +37 other locations,https://www.ambitionbox.com/overview/Grindwell Norton-overview
Vijai Electricals,3.7,(415),Power | Hyderabad / Secunderabad +44 other locations,1.3k,Power | Hyderabad / Secunderabad +44 other locations,https://www.ambitionbox.com/overview/Vijai Electricals-overview
AVAYA,3.2,(414),Software Product | Pune +16 other locations,2.8k,Software Product | Pune +16 other locations,https://www.ambitionbox.com/overview/AVAYA-overview
PULSUS HealthTech Group,3.6,(411),Printing & Publishing | Visakhapatnam +8 other locations,1.3k,Printing & Publishing | Visakhapatnam +8 other locations,https://www.ambitionbox.com/overview/PULSUS HealthTech Group-overview
Lakme,4.1,(414),Beauty & Personal Care | Mumbai +74 other locations,1.5k,Beauty & Personal Care | Mumbai +74 other locations,https://www.ambitionbox.com/overview/Lakme-overview
OutworX,3.6,(418),IT Services & Consulting | Pune +37 other locations,1.8k,IT Services & Consulting | Pune +37 other locations,https://www.ambitionbox.com/overview/OutworX-overview
