iter	Logloss
0	0.6903862051
1	0.6874831597
2	0.6847463913
3	0.6819527135
4	0.6787022256
5	0.6761671405
6	0.6733739393
7	0.6705722307
8	0.6676465434
9	0.6646979627
10	0.6619828657
11	0.6590968677
12	0.6563225866
13	0.6534456784
14	0.6508616887
15	0.6484976485
16	0.6462130234
17	0.6438405729
18	0.6412027547
19	0.6387305023
20	0.6362635806
21	0.633813119
22	0.6316983151
23	0.6295115741
24	0.6275254422
25	0.6254278694
26	0.6230821672
27	0.6206632917
28	0.6183462211
29	0.6164174321
30	0.6141795705
31	0.6122181048
32	0.6100553197
33	0.6078123659
34	0.6058597951
35	0.6037600952
36	0.6016968048
37	0.6000095044
38	0.5979633166
39	0.5963264897
40	0.5945431105
41	0.5927976019
42	0.5909145636
43	0.5891529306
44	0.5871718085
45	0.5856955976
46	0.5839501135
47	0.5819023484
48	0.5798679543
49	0.5782864807
50	0.5769270332
51	0.5752469017
52	0.5733318419
53	0.5717668968
54	0.5702476184
55	0.5686081056
56	0.5668260079
57	0.564852566
58	0.5632258119
59	0.561713482
60	0.5600975133
61	0.5585256991
62	0.5569042995
63	0.5557311478
64	0.5541746728
65	0.5525849016
66	0.5512545461
67	0.5500017595
68	0.5486499503
69	0.5472247674
70	0.5459948099
71	0.5443702809
72	0.5431208863
73	0.5415069191
74	0.539935495
75	0.5386268305
76	0.5372285391
77	0.5356817274
78	0.5343890223
79	0.5329802342
80	0.5319103331
81	0.5306201952
82	0.5294332973
83	0.5283054197
84	0.5268920276
85	0.5260079561
86	0.5250598786
87	0.5238700111
88	0.522868138
89	0.5219735062
90	0.521047815
91	0.5200763903
92	0.5190484125
93	0.5178483257
94	0.5169976956
95	0.5159809816
96	0.5147512528
97	0.5136997007
98	0.5126820025
99	0.5114841021
100	0.5104467568
101	0.509326973
102	0.5080749492
103	0.5068783587
104	0.5062126386
105	0.5051423682
106	0.5040481545
107	0.5030015943
108	0.5023189625
109	0.5015121022
110	0.5005750128
111	0.5000077902
112	0.4993134017
113	0.4985098999
114	0.4978673184
115	0.497002716
116	0.4960967347
117	0.4951709306
118	0.4945523847
119	0.4937523498
120	0.4930107952
121	0.4922326077
122	0.4914031851
123	0.4906701957
124	0.4897764014
125	0.4890653906
126	0.4883392122
127	0.4876870713
128	0.4868188088
129	0.4860339131
130	0.4852530637
131	0.4847788989
132	0.4838800264
133	0.4833019478
134	0.4823756718
135	0.481902353
136	0.4813698844
137	0.4807779377
138	0.479972416
139	0.479315639
140	0.4788544729
141	0.4780806322
142	0.4776268816
143	0.4771447761
144	0.4764379819
145	0.4757476969
146	0.4748982233
147	0.4742997886
148	0.473617766
149	0.4729223872
150	0.4720872562
151	0.4713863538
152	0.4707240309
153	0.4700831667
154	0.4694362328
155	0.4687911196
156	0.4681675746
157	0.4677743591
158	0.4672087805
159	0.4666395822
160	0.4661294352
161	0.4655227233
162	0.4650022133
163	0.4645379476
164	0.4638479163
165	0.463462204
166	0.4627591061
167	0.4621937295
168	0.4617628882
169	0.4613657015
170	0.4607828455
171	0.4603511277
